,future,rate,open,close,open_perp,close_perp
2021-10-10T05:00:00+00:00,MKR-PERP,4.9e-05,2576.0,2597.5,2577.5,2599.0
2021-10-10T06:00:00+00:00,MKR-PERP,4.9e-05,2597.5,2642.0,2599.0,2645.5
2021-10-10T07:00:00+00:00,MKR-PERP,5.1e-05,2642.0,2718.0,2645.5,2722.0
2021-10-10T08:00:00+00:00,MKR-PERP,3.5e-05,2718.0,2675.5,2722.0,2681.0
2021-10-10T09:00:00+00:00,MKR-PERP,2e-05,2675.5,2675.5,2681.0,2674.5
2021-10-10T10:00:00+00:00,MKR-PERP,0.0,2675.5,2642.0,2674.5,2644.0
2021-10-10T11:00:00+00:00,MKR-PERP,3.1e-05,2642.0,2636.0,2644.0,2635.5
2021-10-10T12:00:00+00:00,MKR-PERP,3e-05,2636.0,2611.5,2635.5,2611.0
2021-10-10T13:00:00+00:00,MKR-PERP,2e-05,2611.5,2594.5,2611.0,2596.5
2021-10-10T14:00:00+00:00,MKR-PERP,1.8e-05,2594.5,2579.5,2596.5,2577.0
2021-10-10T15:00:00+00:00,MKR-PERP,-4e-06,2579.5,2595.0,2577.0,2598.0
2021-10-10T16:00:00+00:00,MKR-PERP,-1.5e-05,2595.0,2614.0,2598.0,2614.0
2021-10-10T17:00:00+00:00,MKR-PERP,-1.7e-05,2614.0,2604.5,2614.0,2605.5
2021-10-10T18:00:00+00:00,MKR-PERP,-4e-06,2604.5,2571.0,2605.5,2574.0
2021-10-10T19:00:00+00:00,MKR-PERP,4e-06,2571.0,2569.0,2574.0,2568.5
2021-10-10T20:00:00+00:00,MKR-PERP,-3e-06,2569.0,2552.5,2568.5,2553.0
2021-10-10T21:00:00+00:00,MKR-PERP,-3e-06,2552.5,2494.5,2553.0,2497.0
2021-10-10T22:00:00+00:00,MKR-PERP,-2e-05,2494.5,2494.0,2497.0,2496.5
2021-10-10T23:00:00+00:00,MKR-PERP,-2e-06,2494.0,2455.5,2496.5,2457.5
2021-10-11T00:00:00+00:00,MKR-PERP,-1.4e-05,2455.5,2470.5,2457.5,2473.5
2021-10-11T01:00:00+00:00,MKR-PERP,2e-06,2471.0,2481.5,2473.5,2480.0
2021-10-11T02:00:00+00:00,MKR-PERP,7e-06,2481.5,2488.5,2480.0,2489.5
2021-10-11T03:00:00+00:00,MKR-PERP,9e-06,2488.5,2512.5,2489.5,2515.0
2021-10-11T04:00:00+00:00,MKR-PERP,2e-05,2512.5,2516.5,2515.0,2516.5
2021-10-11T05:00:00+00:00,MKR-PERP,2.1e-05,2516.5,2498.0,2516.5,2500.0
2021-10-11T06:00:00+00:00,MKR-PERP,0.0,2498.0,2498.0,2500.0,2502.0
2021-10-11T07:00:00+00:00,MKR-PERP,9e-06,2498.0,2537.5,2502.0,2539.5
